dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape
foreman.mat,multi,42,20,74040,0.4417,18.5806,19.0224,0.00089,0.133193,0.13399,0.132878,0.133427,9.829526,0.00861,0.008666,nan,9,"(140,170,100)"
foreman.mat,multi,42,40,234000,0.5454,21.3578,21.9032,0.001631,0.140184,0.141038,0.138289,0.138754,12.257403,0.009325,0.009372,nan,9,"(140,170,100)"
foreman.mat,multi,42,60,497160,0.8065,29.4198,30.2263,0.003142,0.134369,0.135273,0.136114,0.136631,10.002986,0.009034,0.009088,nan,9,"(140,170,100)"
foreman.mat,multi,42,80,863520,2.7911,45.2481,48.0392,0.006407,0.146865,0.147799,0.14381,0.144239,10.757642,0.010085,0.010128,nan,9,"(140,170,100)"
foreman.mat,multi,42,100,1333080,6.5877,66.7762,73.3639,0.008572,0.133026,0.13383,0.134472,0.135021,6.772867,0.008818,0.008875,nan,9,"(140,170,100)"
foreman.mat,multi,7,20,74040,0.8011,17.9343,18.7354,0.000798,0.133685,0.134231,0.13711,0.137457,5.893596,0.009155,0.009202,nan,9,"(140,170,100)"
foreman.mat,multi,7,40,234000,0.6573,21.6194,22.2768,0.001432,0.132678,0.13429,0.134747,0.135152,8.023423,0.008842,0.008896,nan,9,"(140,170,100)"
foreman.mat,multi,7,60,497160,1.343,28.9749,30.3179,0.002749,0.132712,0.133613,0.139113,0.139403,5.819105,0.009425,0.009464,nan,9,"(140,170,100)"
foreman.mat,multi,7,80,863520,4.9712,45.8698,50.841,0.005263,0.135439,0.136412,0.137486,0.137919,7.596813,0.009206,0.009264,nan,9,"(140,170,100)"
foreman.mat,multi,7,100,1333080,9.0577,66.8984,75.9561,0.008623,0.133789,0.135206,0.136261,0.136777,7.645879,0.009042,0.009111,nan,9,"(140,170,100)"
foreman.mat,multi,123,20,74040,0.8406,18.3476,19.1882,0.000764,0.131357,0.131534,0.134454,0.135154,8.255794,0.008804,0.008907,nan,9,"(140,170,100)"
foreman.mat,multi,123,40,234000,0.7322,21.0369,21.7691,0.001615,0.13424,0.134578,0.135077,0.13581,11.209873,0.008886,0.008993,nan,9,"(140,170,100)"
foreman.mat,multi,123,60,497160,1.1183,29.1736,30.2919,0.00296,0.139068,0.139522,0.14015,0.140917,10.814841,0.009566,0.009682,nan,9,"(140,170,100)"
foreman.mat,multi,123,80,863520,1.6339,44.5528,46.1867,0.005247,0.135463,0.135919,0.138419,0.139256,11.709331,0.009331,0.009455,nan,9,"(140,170,100)"
foreman.mat,multi,123,100,1333080,11.3515,65.7973,77.1488,0.00838,0.133381,0.133536,0.138248,0.138971,5.287415,0.009308,0.009417,nan,9,"(140,170,100)"
