dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,sample_rate,model
foreman.mat,multi,42,5,19215,1.1935,12.7091,13.9026,0.000895,0.141576,0.14266,0.172875,0.173328,0.854894,0.014567,0.014627,0.5798,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,5,19215,1.77,12.9333,14.7034,0.001176,0.139343,0.139822,0.168443,0.168412,0.944381,0.01382,0.013814,0.5798,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,5,19215,1.0923,12.771,13.8633,0.001123,0.140753,0.141009,0.167719,0.16836,1.198037,0.013691,0.013826,0.5798,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,10,21150,1.2312,13.178,14.4092,0.001045,0.121438,0.122839,0.153616,0.15416,0.61871,0.011502,0.011571,0.6578,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,10,21150,0.4965,13.8048,14.3013,0.001058,0.118281,0.119245,0.150766,0.151049,1.069762,0.011071,0.011113,0.6578,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,10,21150,0.8435,14.5221,15.3657,0.001293,0.116642,0.117636,0.147895,0.1485,0.756819,0.010646,0.010757,0.6578,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,20,25020,1.7143,14.9714,16.6856,0.001457,0.099985,0.102318,0.1314,0.132153,0.362431,0.008416,0.008503,0.814,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,20,25020,0.43,14.7429,15.1728,0.001468,0.097015,0.098702,0.130247,0.130757,0.984252,0.008263,0.008328,0.814,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,20,25020,1.3202,14.0126,15.3328,0.001608,0.102795,0.104519,0.136268,0.136961,0.497081,0.009037,0.00915,0.814,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,40,32760,0.6551,15.3419,15.997,0.001859,0.083825,0.087233,0.11536,0.116213,0.552866,0.006486,0.006575,1.1263,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,40,32760,0.155,15.4715,15.6265,0.001944,0.087448,0.090047,0.121326,0.121956,1.349127,0.00717,0.007244,1.1263,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,40,32760,0.8572,15.3052,16.1624,0.002308,0.084452,0.087054,0.113058,0.113938,0.551644,0.006221,0.006332,1.1263,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,60,40500,0.9311,17.256,18.1871,0.003572,0.077187,0.081509,0.103792,0.104826,0.426426,0.005251,0.00535,1.4386,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,60,40500,0.3819,17.0375,17.4194,0.002669,0.075489,0.079037,0.101505,0.102455,0.851509,0.005018,0.005113,1.4386,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,60,40500,0.7642,16.6398,17.404,0.003167,0.076993,0.08063,0.10498,0.106085,0.542665,0.005364,0.00549,1.4386,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,80,48240,0.5103,19.3101,19.8205,0.005111,0.072598,0.077172,0.09588,0.097068,0.580264,0.004481,0.004587,1.751,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,80,48240,0.3289,19.2628,19.5916,0.005659,0.073334,0.07729,0.097292,0.098402,0.904175,0.004611,0.004716,1.751,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,80,48240,0.8138,19.2252,20.039,0.004589,0.072627,0.076692,0.100247,0.101582,0.482995,0.004891,0.005033,1.751,9,"(140,170,100)",0.3,CP
foreman.mat,multi,42,100,55980,0.5587,23.4772,24.0359,0.009214,0.070709,0.075763,0.091393,0.092974,0.5894,0.004071,0.004209,2.0633,9,"(140,170,100)",0.3,CP
foreman.mat,multi,7,100,55980,0.3543,24.1119,24.4662,0.009119,0.069756,0.074174,0.091727,0.093171,0.967693,0.004098,0.004228,2.0633,9,"(140,170,100)",0.3,CP
foreman.mat,multi,123,100,55980,0.7656,23.1822,23.9478,0.008329,0.068783,0.073058,0.09022,0.091758,0.595099,0.003962,0.004107,2.0633,9,"(140,170,100)",0.3,CP
