dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,dA_l1_max,dB_l1_max,dC_l1_max,sample_rate,model
foreman.mat,multi,42,5,21795,0.9034,15.053,15.9564,0.000466,0.150364,0.150761,0.169829,0.170182,8.289968,0.014058,0.014101,nan,9,"(140,170,100)",0.281576,3.495192,0.010888,0.3,Dense TT
foreman.mat,multi,7,5,21795,0.4987,15.1884,15.6871,0.000509,0.147866,0.147598,0.165809,0.165594,9.470663,0.013391,0.013356,nan,9,"(140,170,100)",0.339019,2.767665,0.021549,0.3,Dense TT
foreman.mat,multi,123,5,21795,0.5647,15.141,15.7057,0.000512,0.147856,0.147854,0.167602,0.168085,9.605876,0.013672,0.013781,nan,9,"(140,170,100)",0.379164,3.225643,0.015919,0.3,Dense TT
foreman.mat,multi,42,10,32760,0.4474,16.7395,17.1869,0.000578,0.136593,0.137184,0.142535,0.142533,14.516065,0.009902,0.009891,nan,9,"(140,170,100)",0.513564,9.823124,0.05677,0.3,Dense TT
foreman.mat,multi,7,10,32760,0.5512,16.559,17.1102,0.000587,0.132322,0.132339,0.142861,0.142862,8.928517,0.009941,0.009941,nan,9,"(140,170,100)",0.783828,10.400735,0.040743,0.3,Dense TT
foreman.mat,multi,123,10,32760,0.3918,16.39,16.7818,0.000496,0.139373,0.139561,0.145576,0.146153,17.290234,0.010314,0.010419,nan,9,"(140,170,100)",0.579285,9.974016,0.039388,0.3,Dense TT
foreman.mat,multi,42,20,74040,0.3955,18.6401,19.0356,0.00052,0.132691,0.133482,0.133701,0.134095,15.054089,0.008713,0.008755,nan,9,"(140,170,100)",1.020706,33.384308,0.056793,0.3,Dense TT
foreman.mat,multi,7,20,74040,0.3643,17.0657,17.4299,0.000685,0.135981,0.13606,0.137664,0.137854,12.272976,0.009231,0.009256,nan,9,"(140,170,100)",1.015474,24.790112,0.056949,0.3,Dense TT
foreman.mat,multi,123,20,74040,0.7991,17.0899,17.889,0.000736,0.132614,0.132794,0.1334,0.134043,12.901002,0.008661,0.008764,nan,9,"(140,170,100)",1.14405,29.946127,0.06133,0.3,Dense TT
foreman.mat,multi,42,40,234000,0.4847,19.8677,20.3524,0.001064,0.140494,0.141107,0.141455,0.141716,18.421412,0.009753,0.009778,nan,9,"(140,170,100)",1.766585,66.576202,0.069689,0.3,Dense TT
foreman.mat,multi,7,40,234000,0.303,20.5621,20.8651,0.001025,0.134732,0.134613,0.13688,0.137071,18.604481,0.009126,0.009151,nan,9,"(140,170,100)",1.824895,85.053192,0.064674,0.3,Dense TT
foreman.mat,multi,123,40,234000,0.3661,20.1208,20.4869,0.001397,0.138059,0.138279,0.135424,0.135965,18.52668,0.008926,0.009017,nan,9,"(140,170,100)",1.797871,95.072777,0.071824,0.3,Dense TT
foreman.mat,multi,42,60,497160,0.3709,26.1473,26.5183,0.001967,0.135736,0.136354,0.137509,0.137841,20.162586,0.009216,0.009251,nan,9,"(140,170,100)",2.084168,163.668518,0.089175,0.3,Dense TT
foreman.mat,multi,7,60,497160,1.0267,26.7912,27.8179,0.002387,0.132132,0.132444,0.136277,0.136603,9.198519,0.009046,0.009089,nan,9,"(140,170,100)",2.342807,177.241684,0.076485,0.3,Dense TT
foreman.mat,multi,123,60,497160,1.0503,27.0609,28.1112,0.002008,0.138145,0.138292,0.138756,0.139362,16.128142,0.009371,0.009474,nan,9,"(140,170,100)",2.216401,160.777298,0.075572,0.3,Dense TT
foreman.mat,multi,42,80,863520,2.2726,41.1839,43.4565,0.003874,0.142156,0.142723,0.140516,0.140751,16.07597,0.009624,0.009645,nan,9,"(140,170,100)",1.636591,391.211151,0.08035,0.3,Dense TT
foreman.mat,multi,7,80,863520,0.0741,40.8902,40.9643,0.005587,0.143889,0.143735,0.143146,0.143258,170.522244,0.009981,0.009996,nan,9,"(140,170,100)",2.060452,262.264709,0.082002,0.3,Dense TT
foreman.mat,multi,123,80,863520,1.2752,41.1023,42.3775,0.003909,0.136823,0.137139,0.138669,0.139221,18.180141,0.009359,0.009454,nan,9,"(140,170,100)",2.405966,301.773682,0.076104,0.3,Dense TT
foreman.mat,multi,42,100,1333080,0.1171,61.883,62.0001,0.007262,0.143311,0.143687,0.140323,0.14047,177.566958,0.009597,0.009607,nan,9,"(140,170,100)",2.750686,377.960999,0.09402,0.3,Dense TT
foreman.mat,multi,7,100,1333080,0.1451,61.246,61.3912,0.00679,0.140349,0.14025,0.137497,0.137698,177.234276,0.009208,0.009235,nan,9,"(140,170,100)",2.764155,456.229675,0.099313,0.3,Dense TT
foreman.mat,multi,123,100,1333080,5.9442,61.611,67.5553,0.00669,0.135579,0.135849,0.137739,0.138344,12.646562,0.009234,0.009336,nan,9,"(140,170,100)",2.651916,431.534973,0.092149,0.3,Dense TT
