dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,sample_rate,model,true_tt_rank,dA_l1_max,dB_l1_max,dC_l1_max
synthetic_tt_r10_40x40x50.mat,multi,42,2,18054,0.0589,12.8376,12.8965,0.00035,0.104842,0.107366,0.197214,0.198622,0.000453,0.047556,0.048401,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,2,18312,0.2579,15.4852,15.7431,0.000529,0.03929,0.0406,0.093243,0.093291,0.0,0.010631,0.010678,nan,9,"(40,40,50)",0.3,Dense TT,10,0.292427,0.548555,0.072571
synthetic_tt_r10_40x40x50.mat,multi,42,5,19215,0.1402,13.3716,13.5117,0.00118,0.030086,0.031521,0.017284,0.017207,8.6e-05,0.000365,0.000363,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,5,21795,0.2332,16.761,16.9942,0.000613,0.016753,0.017457,0.012992,0.013037,0.0,0.000206,0.000209,nan,9,"(40,40,50)",0.3,Dense TT,10,0.447986,1.494111,0.073296
synthetic_tt_r10_40x40x50.mat,multi,42,10,21150,0.1128,12.9273,13.0401,0.000876,0.029785,0.033324,0.027251,0.027421,0.000595,0.000908,0.000922,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,10,32760,0.1903,15.6727,15.863,0.000449,0.020618,0.022066,0.013491,0.013447,0.0,0.000223,0.000222,nan,9,"(40,40,50)",0.3,Dense TT,10,0.511247,4.88267,0.096221
synthetic_tt_r10_40x40x50.mat,multi,42,15,23085,0.5529,12.6807,13.2337,0.000983,0.028982,0.03351,0.013108,0.013283,1e-06,0.00021,0.000216,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,15,50175,0.0731,15.5061,15.5792,0.000493,0.014888,0.016122,0.008206,0.008225,4e-06,8.2e-05,8.3e-05,nan,9,"(40,40,50)",0.3,Dense TT,10,0.784927,8.883059,0.095197
synthetic_tt_r10_40x40x50.mat,multi,42,20,25020,0.2769,12.8207,13.0976,0.000911,0.029044,0.035493,0.028454,0.028578,2.6e-05,0.00099,0.001002,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,20,74040,0.0964,16.5623,16.6587,0.000578,0.017967,0.019578,0.017268,0.017185,1e-06,0.000365,0.000362,nan,9,"(40,40,50)",0.3,Dense TT,10,1.029994,12.717488,0.114342
synthetic_tt_r10_40x40x50.mat,multi,42,30,28890,0.1297,13.8766,14.0063,0.001127,0.039315,0.041979,0.013117,0.013309,0.000499,0.00021,0.000217,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,30,141120,0.2525,17.3138,17.5664,0.000579,0.015955,0.017126,0.007449,0.007468,0.0,6.8e-05,6.8e-05,nan,9,"(40,40,50)",0.3,Dense TT,10,0.901349,24.939642,0.152015
synthetic_tt_r10_40x40x50.mat,multi,42,40,32760,0.3064,13.9857,14.2921,0.001457,0.028578,0.03405,0.012835,0.012973,2.8e-05,0.000201,0.000206,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,40,234000,0.2085,19.287,19.4954,0.000734,0.018468,0.019651,0.012912,0.012907,5e-06,0.000204,0.000204,nan,9,"(40,40,50)",0.3,Dense TT,10,1.649673,38.59483,0.113701
synthetic_tt_r10_40x40x50.mat,multi,42,60,40500,0.3226,15.2814,15.6039,0.001986,0.047644,0.051989,0.030482,0.030463,2.9e-05,0.001136,0.001139,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,60,497160,0.0755,26.2905,26.366,0.001272,0.018252,0.01976,0.008426,0.008402,4e-06,8.7e-05,8.7e-05,nan,9,"(40,40,50)",0.3,Dense TT,10,1.530066,69.600891,0.176471
synthetic_tt_r10_40x40x50.mat,multi,42,80,48240,0.0867,18.5728,18.6595,0.002796,0.0488,0.056822,0.051554,0.051296,0.009414,0.00325,0.003228,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,80,863520,0.0976,35.7934,35.891,0.002233,0.027856,0.031492,0.009238,0.00928,0.000574,0.000104,0.000106,nan,9,"(40,40,50)",0.3,Dense TT,10,1.864767,89.274765,0.247648
synthetic_tt_r10_40x40x50.mat,multi,42,100,55980,0.245,22.22,22.465,0.004118,0.049621,0.053587,0.014604,0.015075,0.00362,0.000261,0.000279,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,100,1333080,0.4379,48.3173,48.7553,0.003574,0.019272,0.020433,0.011306,0.011315,2.7e-05,0.000156,0.000157,nan,9,"(40,40,50)",0.3,Dense TT,10,1.817793,149.575394,0.19381
synthetic_tt_r10_40x40x50.mat,multi,42,150,75330,0.3675,40.0149,40.3824,0.010699,0.089152,0.09323,0.026535,0.026557,0.002929,0.000861,0.000865,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,200,94680,0.8574,72.7577,73.6151,0.01911,0.043058,0.060491,0.06632,0.06583,0.001341,0.005378,0.005317,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,250,114030,1.5652,119.5796,121.1449,0.034812,0.138571,0.136228,0.012493,0.012732,0.002503,0.000191,0.000199,nan,9,"(40,40,50)",0.3,CP,10,,,
synthetic_tt_r10_40x40x50.mat,multi,42,300,133380,38.0883,193.6894,231.7777,0.054107,0.054641,0.073445,0.060265,0.060571,0.0,0.004441,0.004501,nan,9,"(40,40,50)",0.3,CP,10,,,
