model,R,seeds,params,final_test_nre,avg_online_nre_test,total_train_time_s,avg_update_time_s,nre_gain_from_prev,delta_params_from_prev,gain_per_10k_params
CP,2,1,18054.0,0.198622,0.107366,12.8965,1.4264000000000001,,,
CP,5,1,19215.0,0.017207,0.031521,13.5117,1.4857333333333334,0.181415,1161.0,1.5625753660637383
CP,10,1,21150.0,0.027421,0.033324,13.0401,1.4363666666666668,-0.010214,1935.0,-0.052785529715762274
CP,15,1,23085.0,0.013283,0.03351,13.2337,1.4089666666666667,0.014138000000000001,1935.0,0.07306459948320414
CP,20,1,25020.0,0.028578,0.035493,13.0976,1.4245222222222222,-0.015295,1935.0,-0.07904392764857882
CP,30,1,28890.0,0.013309,0.041979,14.0063,1.5418444444444444,0.015269,3870.0,0.039454780361757105
CP,40,1,32760.0,0.012973,0.03405,14.2921,1.5539666666666667,0.0003359999999999995,3870.0,0.0008682170542635646
CP,60,1,40500.0,0.030463,0.051989,15.6039,1.6979333333333333,-0.01749,7740.0,-0.022596899224806198
CP,80,1,48240.0,0.051296,0.056822,18.6595,2.0636444444444444,-0.020833,7740.0,-0.026916020671834625
CP,100,1,55980.0,0.015075,0.053587,22.465,2.468888888888889,0.036221,7740.0,0.04679715762273902
CP,150,1,75330.0,0.026557,0.09323,40.3824,4.4460999999999995,-0.011482000000000001,19350.0,-0.005933850129198967
CP,200,1,94680.0,0.06583,0.060491,73.6151,8.084188888888889,-0.039273,19350.0,-0.02029612403100775
CP,250,1,114030.0,0.012732,0.136228,121.1449,13.286622222222222,0.053098,19350.0,0.02744082687338501
CP,300,1,133380.0,0.060571,0.073445,231.7777,21.521044444444446,-0.047839,19350.0,-0.02472299741602067
Dense TT,2,1,18312.0,0.093291,0.0406,15.7431,1.7205777777777778,,,
Dense TT,5,1,21795.0,0.013037,0.017457,16.9942,1.8623333333333332,0.08025399999999999,3483.0,0.23041630778064884
Dense TT,10,1,32760.0,0.013447,0.022066,15.863,1.7414111111111112,-0.00041000000000000064,10965.0,-0.00037391700866393126
Dense TT,15,1,50175.0,0.008225,0.016122,15.5792,1.7229,0.005222000000000001,17415.0,0.0029985644559287978
Dense TT,20,1,74040.0,0.017185,0.019578,16.6587,1.8402555555555555,-0.00896,23865.0,-0.0037544521265451495
Dense TT,30,1,141120.0,0.007468,0.017126,17.5664,1.9237555555555557,0.009717,67080.0,0.0014485688729874776
Dense TT,40,1,234000.0,0.012907,0.019651,19.4954,2.143,-0.005439,92880.0,-0.0005855943152454781
Dense TT,60,1,497160.0,0.008402,0.01976,26.366,2.9211666666666667,0.004505,263160.0,0.0001711886304909561
Dense TT,80,1,863520.0,0.00928,0.031492,35.891,3.977044444444444,-0.0008780000000000003,366360.0,-2.396549841685774e-05
Dense TT,100,1,1333080.0,0.011315,0.020433,48.7553,5.3685888888888895,-0.0020350000000000004,469560.0,-4.333844450123521e-05
