dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape,target_params,actual_params_formula,param_error,sample_rate,model,true_tt_rank,dA_l1_max,dB_l1_max,dC_l1_max
synthetic_tt_r10_40x40x50.mat,multi,42,2,18312,0.2539,14.3713,14.6252,0.000415,0.03929,0.0406,0.093243,0.093291,0.0,0.010631,0.010678,nan,9,"(40,40,50)",18000,18312,312,0.3,Dense TT,10,0.292427,0.548555,0.072571
synthetic_tt_r10_40x40x50.mat,multi,42,4,20376,0.265,14.5385,14.8035,0.000446,0.021382,0.022564,0.014838,0.014733,0.0,0.000269,0.000266,nan,9,"(40,40,50)",20000,20376,376,0.3,Dense TT,10,0.44739,1.110537,0.078266
synthetic_tt_r10_40x40x50.mat,multi,42,7,25407,0.0532,14.925,14.9782,0.000421,0.020858,0.022197,0.016294,0.0163,3e-06,0.000325,0.000326,nan,9,"(40,40,50)",25000,25407,407,0.3,Dense TT,10,0.474185,2.523129,0.084889
synthetic_tt_r10_40x40x50.mat,multi,42,9,30051,0.0727,15.7418,15.8145,0.000438,0.019662,0.021141,0.01485,0.014772,1e-06,0.00027,0.000268,nan,9,"(40,40,50)",30000,30051,51,0.3,Dense TT,10,0.483932,4.062985,0.0733
synthetic_tt_r10_40x40x50.mat,multi,42,12,38952,0.0594,15.6761,15.7354,0.000453,0.019332,0.020358,0.006733,0.006732,1e-06,5.5e-05,5.6e-05,nan,9,"(40,40,50)",40000,38952,-1048,0.3,Dense TT,10,0.550953,5.751103,0.109226
synthetic_tt_r10_40x40x50.mat,multi,42,15,50175,0.0729,15.6664,15.7394,0.00049,0.014888,0.016122,0.008206,0.008225,4e-06,8.2e-05,8.3e-05,nan,9,"(40,40,50)",50000,50175,175,0.3,Dense TT,10,0.784927,8.883059,0.095197
synthetic_tt_r10_40x40x50.mat,multi,42,20,74040,0.0959,15.9931,16.089,0.000562,0.017967,0.019578,0.017268,0.017185,1e-06,0.000365,0.000362,nan,9,"(40,40,50)",75000,74040,-960,0.3,Dense TT,10,1.029994,12.717488,0.114342
synthetic_tt_r10_40x40x50.mat,multi,42,24,97776,0.0978,16.6617,16.7594,0.000523,0.015499,0.016789,0.007109,0.007107,1e-06,6.2e-05,6.2e-05,nan,9,"(40,40,50)",100000,97776,-2224,0.3,Dense TT,10,1.048173,17.559046,0.125261
synthetic_tt_r10_40x40x50.mat,multi,42,28,125640,0.0609,17.5926,17.6535,0.000598,0.017777,0.018694,0.011432,0.011396,1e-05,0.00016,0.000159,nan,9,"(40,40,50)",125000,125640,640,0.3,Dense TT,10,0.863732,26.323898,0.136475
synthetic_tt_r10_40x40x50.mat,multi,7,2,18312,0.3156,14.5546,14.8702,0.000552,0.039509,0.039506,0.08347,0.083629,0.0,0.008426,0.008502,nan,9,"(40,40,50)",18000,18312,312,0.3,Dense TT,10,0.281331,0.626454,0.094103
synthetic_tt_r10_40x40x50.mat,multi,123,2,18312,0.2605,14.4784,14.739,0.000406,0.036899,0.036344,0.077742,0.077759,0.0,0.007354,0.007313,nan,9,"(40,40,50)",18000,18312,312,0.3,Dense TT,10,0.2747,0.413419,0.089705
synthetic_tt_r10_40x40x50.mat,multi,7,4,20376,0.2124,14.6203,14.8328,0.000428,0.017519,0.017571,0.017914,0.017766,0.0,0.000388,0.000384,nan,9,"(40,40,50)",20000,20376,376,0.3,Dense TT,10,0.37313,1.04887,0.069911
synthetic_tt_r10_40x40x50.mat,multi,123,4,20376,0.206,15.0457,15.2517,0.000428,0.017872,0.0177,0.017516,0.01771,0.0,0.000373,0.000379,nan,9,"(40,40,50)",20000,20376,376,0.3,Dense TT,10,0.436773,1.366639,0.078119
