model,target_params,R,seeds,actual_params,param_error,final_test_nre,final_test_nre_std,avg_online_nre_test,total_train_time_s,avg_update_time_s
CP,18000,2,3,18054.0,54.0,0.19734866666666664,0.0011060100963975418,0.097505,12.514000000000001,1.3799333333333335
Dense TT,18000,2,3,18312.0,312.0,0.084893,0.007842769153812958,0.038816666666666666,14.7448,1.6075666666666668
CP,20000,7,3,19989.0,-11.0,0.025881666666666667,0.010696538801562556,0.024389333333333332,12.804700000000002,1.4062962962962964
Dense TT,20000,4,3,20376.0,376.0,0.016736333333333336,0.0017351634889350733,0.01927833333333333,14.962666666666665,1.6372037037037037
CP,25000,20,3,25020.0,20.0,0.023042999999999998,0.005187241559827341,0.02892866666666667,13.370666666666667,1.4538703703703704
Dense TT,25000,7,3,25407.0,407.0,0.014073999999999998,0.0048239393652905705,0.018455333333333334,15.253233333333334,1.686525925925926
CP,30000,33,3,30051.0,51.0,0.027635999999999997,0.013088453040753139,0.03669833333333333,13.956666666666669,1.5303740740740739
Dense TT,30000,9,3,30051.0,51.0,0.013600333333333334,0.006161623839000021,0.018290999999999998,16.012733333333333,1.7645259259259258
CP,40000,59,3,40113.0,113.0,0.03137733333333333,0.012093034744568186,0.053216999999999993,16.5385,1.8182333333333334
Dense TT,40000,12,3,38952.0,-1048.0,0.009800666666666666,0.002679204421714277,0.020228333333333334,15.614866666666666,1.725037037037037
CP,50000,85,3,50175.0,175.0,0.050329000000000006,0.032834359305459276,0.051799000000000005,20.595966666666666,2.2616259259259257
Dense TT,50000,15,3,50175.0,175.0,0.013045666666666669,0.004369874292623684,0.019391000000000002,15.8703,1.7508333333333332
CP,75000,149,3,74943.0,-57.0,0.05184,0.016537793927849025,0.07463266666666667,43.659533333333336,4.810874074074074
Dense TT,75000,20,3,74040.0,-960.0,0.014328666666666665,0.003772655872635792,0.019472333333333335,16.537633333333332,1.8244629629629632
CP,100000,214,3,100098.0,98.0,0.07483333333333334,0.02495717743121873,0.10253766666666668,82.09423333333332,9.091407407407408
Dense TT,100000,24,3,97776.0,-2224.0,0.010719333333333332,0.004017416375400157,0.018187666666666668,16.7468,1.851759259259259
CP,125000,278,3,124866.0,-134.0,0.04135466666666667,0.016209449260642175,0.07791833333333333,162.09633333333332,17.857633333333336
Dense TT,125000,28,3,125640.0,640.0,0.011225666666666667,0.0025088404360049154,0.017614333333333333,17.350033333333332,1.915937037037037
