dataset,mode,seed,R,params,init_time_s,online_time_s,total_train_time_s,infer_time_s,avg_online_nre_train,avg_online_nre_test,final_train_nre,final_test_nre,init_loss_best,final_train_loss,final_test_loss,avg_flops_m,num_updates,final_shape
foreman.mat,multi,42,40,234000,0.504,22.926,23.4299,0.001647,0.140646,0.141212,0.142007,0.142154,18.421412,0.009775,0.009783,nan,10,"(144,176,100)"
foreman.mat,multi,42,50,352680,0.7621,26.7957,27.5578,0.001715,0.136798,0.13744,0.141023,0.14112,16.884146,0.00964,0.009642,nan,10,"(144,176,100)"
foreman.mat,multi,42,60,497160,0.5786,30.5966,31.1751,0.003865,0.136469,0.137136,0.138931,0.139063,16.232093,0.009356,0.009362,nan,10,"(144,176,100)"
foreman.mat,multi,42,80,863520,2.4107,47.3135,49.7241,0.004821,0.142108,0.142644,0.141677,0.141937,16.07597,0.00973,0.009753,nan,10,"(144,176,100)"
foreman.mat,multi,42,100,1333080,8.2716,70.845,79.1166,0.007753,0.136083,0.13696,0.138072,0.138255,8.993375,0.009241,0.009254,nan,10,"(144,176,100)"
foreman.mat,multi,7,40,234000,0.8848,24.23,25.1147,0.001401,0.132735,0.132695,0.135669,0.136076,11.648942,0.008916,0.008966,nan,10,"(144,176,100)"
foreman.mat,multi,7,50,352680,0.8179,28.9981,29.816,0.001577,0.137472,0.137538,0.141947,0.142159,16.567038,0.00976,0.009786,nan,10,"(144,176,100)"
foreman.mat,multi,7,60,497160,1.0308,31.3315,32.3623,0.00308,0.13284,0.133144,0.139209,0.139444,9.198519,0.009387,0.009416,nan,10,"(144,176,100)"
foreman.mat,multi,7,80,863520,3.4445,47.6713,51.1158,0.005569,0.139387,0.139565,0.140973,0.141311,13.5338,0.009626,0.009669,nan,10,"(144,176,100)"
foreman.mat,multi,7,100,1333080,7.402,80.7228,88.1248,0.010312,0.133517,0.133483,0.136345,0.13667,12.048461,0.009005,0.009045,nan,10,"(144,176,100)"
